Longitude,Latitude,Pixel,Scan,Longitude180,TMC_X,TMC_Y,Inside_TMC_BBox,Coarse_Valid_Overlap
186.692439,-89.8441494,11000,18300,-173.30756099999996,-550.7566202267955,-4693.713060990875,True,False
186.427653,-89.8434343,11100,18300,-173.57234700000004,-531.4868715242578,-4717.756150421852,True,False
186.165303,-89.8427159,11200,18300,-173.834697,-512.2189560932934,-4741.798634796748,True,False
185.905367,-89.8419942,11300,18300,-174.094633,-492.9530480701992,-4765.8418997106655,True,False
185.647822,-89.8412694,11400,18300,-174.35217799999998,-473.68861424510237,-4789.8812876943375,True,False
185.392647,-89.8405415,11500,18300,-174.607353,-454.42593843614543,-4813.918135280997,True,False
185.139817,-89.8398105,11600,18300,-174.860183,-435.16494019897345,-4837.953795198555,True,False
184.889312,-89.8390765,11700,18300,-175.11068799999998,-415.90567177645283,-4861.986542834137,True,False
184.641108,-89.8383395,11800,18300,-175.35889199999997,-396.6481173261326,-4886.017686111982,True,False
184.395183,-89.8375995,11900,18300,-175.60481700000003,-377.3924003525478,-4910.048501443221,True,False
184.153941,-89.8368641,11999,18300,-175.84605899999997,-358.33083913848094,-4933.835228266707,True,False
232.780348,-89.8879248,0,18400,-127.219652,-2706.299340985916,-2055.656424894744,True,True
232.256163,-89.8879474,100,18400,-127.74383699999998,-2686.837739362591,-2079.909819147821,True,True
231.731854,-89.8879607,200,18400,-128.268146,-2667.3757839228138,-2104.159642800341,True,True
231.207509,-89.8879646,300,18400,-128.79249100000004,-2647.9158657504618,-2128.407713285107,True,True
230.683215,-89.8879591,400,18400,-129.31678499999998,-2628.4579783998943,-2152.6541059917113,True,True
230.159061,-89.8879442,500,18400,-129.840939,-2609.002245677808,-2176.8988485680575,True,True
229.635134,-89.88792,600,18400,-130.364866,-2589.5464630485494,-2201.140139700716,True,True
229.111522,-89.8878864,700,18400,-130.88847799999996,-2570.0931787173777,-2225.3800593581973,True,True
228.588311,-89.8878434,800,18400,-131.41168900000002,-2550.6425764261094,-2249.618895645867,True,True
228.065589,-89.887791,900,18400,-131.934411,-2531.1949774814175,-2273.856884719795,True,True
227.543442,-89.8877294,1000,18400,-132.45655799999997,-2511.746211708371,-2298.0902944712325,True,True
227.021955,-89.8876584,1100,18400,-132.978045,-2492.3011536887807,-2322.3235769043476,True,True
226.501215,-89.8875781,1200,18400,-133.498785,-2472.8580734548373,-2346.5550304986846,True,True
225.981304,-89.8874886,1300,18400,-134.01869599999998,-2453.4151770145363,-2370.783121689554,True,True
225.462306,-89.8873898,1400,18400,-134.537694,-2433.975214591267,-2395.010433805667,True,True
224.944305,-89.8872818,1500,18400,-135.05569500000001,-2414.5366421583717,-2419.2353655032557,True,True
224.427381,-89.8871646,1600,18400,-135.57261900000003,-2395.100013902232,-2443.45859925655,True,True
223.911615,-89.8870382,1700,18400,-136.08838500000002,-2375.665991482648,-2467.6807993431075,True,True
223.397088,-89.8869027,1800,18400,-136.602912,-2356.233221342654,-2491.900450773881,True,True
222.883876,-89.8867581,1900,18400,-137.116124,-2336.802343442998,-2516.1184136537568,True,True
222.372057,-89.8866045,2000,18400,-137.62794299999996,-2317.37210744615,-2540.333244677062,True,True
221.861708,-89.8864418,2100,18400,-138.13829199999998,-2297.9454157558057,-2564.5480050114784,True,True
