source_x,source_y,reference_x,reference_y,source_map_x_m,source_map_y_m,reference_map_x_m,reference_map_y_m,final_residual_px,final_residual_nominal_m
472.375,533.125,474.89453125,532.7702026367188,570588.3984375,-103848.474609375,570600.99609375,-103846.7006225586,1.0314625449703847,5.1573127248519235
692.125,533.125,693.83203125,532.7702026367188,571687.1484375,-103848.474609375,571695.68359375,-103846.7006225586,0.4518304604484045,2.259152302242023
669.625,547.375,672.64453125,547.7918701171875,571574.6484375,-103919.724609375,571589.74609375,-103921.80895996094,1.9076986384500052,9.538493192250026
497.125,566.875,500.49609375,567.2317504882812,570712.1484375,-104017.224609375,570729.00390625,-104019.0083618164,2.008051201326287,10.040256006631434
500.875,567.625,504.91015625,568.1153564453125,570730.8984375,-104020.974609375,570751.07421875,-104023.42639160156,2.668087756682085,13.340438783410423
505.375,569.125,509.32421875,569.8826293945312,570753.3984375,-104028.474609375,570773.14453125,-104032.26275634766,2.708075094146466,13.54037547073233
662.125,569.875,664.69921875,566.3480834960938,571537.1484375,-104032.224609375,571550.01953125,-104014.59002685547,3.239566361651718,16.197831808258588
614.125,599.125,617.91015625,599.926025390625,571297.1484375,-104178.474609375,571316.07421875,-104182.47973632812,2.6038402520859756,13.019201260429877
778.875,183.625,780.08203125,185.4527587890625,572120.8984375,-102100.974609375,572126.93359375,-102110.11340332031,2.247470636317662,11.23735318158831
774.375,191.125,774.03515625,191.5,572098.3984375,-102138.474609375,572096.69921875,-102140.349609375,0.6861085348759732,3.430542674379866
811.125,192.625,811.32421875,192.50787353515625,572282.1484375,-102145.974609375,572283.14453125,-102145.38897705078,0.1123784430971953,0.5618922154859765
826.875,197.125,826.44140625,196.53936767578125,572360.8984375,-102168.474609375,572358.73046875,-102165.5464477539,0.6956521745930404,3.478260872965202
799.125,198.625,799.23046875,198.55511474609375,572222.1484375,-102175.974609375,572222.67578125,-102175.62518310547,0.06263241065040841,0.31316205325204205
835.125,201.625,835.51171875,200.57086181640625,572402.1484375,-102190.974609375,572404.08203125,-102185.70391845703,0.978440355314875,4.8922017765743755
776.625,203.125,774.03515625,202.58660888671875,572109.6484375,-102198.474609375,572096.69921875,-102195.7826538086,2.7746610254965955,13.873305127482977
810.375,204.625,809.30859375,204.60235595703125,572278.3984375,-102205.974609375,572273.06640625,-102205.86138916016,1.196350960045214,5.98175480022607
849.375,217.375,849.62109375,217.70472717285156,572473.3984375,-102269.724609375,572474.62890625,-102271.37324523926,0.4773065386314613,2.3865326931573065
781.875,221.875,782.09765625,221.73622131347656,572135.8984375,-102292.224609375,572137.01171875,-102291.53071594238,0.023099889793527884,0.11549944896763942
787.875,222.625,787.13671875,222.7440948486328,572165.8984375,-102295.974609375,572162.20703125,-102296.57008361816,0.9822447152156183,4.911223576078092
917.625,222.625,919.16015625,223.75196838378906,572814.6484375,-102295.974609375,572822.32421875,-102301.60945129395,1.9232940487725676,9.616470243862839
793.125,224.125,793.18359375,223.75196838378906,572192.1484375,-102303.474609375,572192.44140625,-102301.60945129395,0.2614229257883339,1.3071146289416697
866.625,224.875,865.74609375,224.7598419189453,572559.6484375,-102307.224609375,572555.25390625,-102306.64881896973,1.0062131274479293,5.031065637239647
